building,code,description,title,days,credits,time,instructor,department,school,collegeId
TBA,E35 ESE 427," This course is a self-contained introduction to financial mathematics at the undergraduate level. Topics to be covered include pricing of the financial instruments such as options, forwards, futures and their derivatives along with basic hedging techniques and portfolio optimization strategies. The emphasis is put on using of discrete, mostly binary models. The general, continuous case including the concepts of Brownian motion, stochastic integral, and stochastic differential equations, is explained from intuitive and practical point of view. Among major results discussed are the Arbitrage Theorem and Black-Scholes differential equations and their solutions. Prerequisites: ESE 318 and ESE 326 or the consent of the instructor.",Financial Mathematics,-T-R---,3,2:30P-4:00P,Kurenok,,school of engineering ,1
(None) /,E35 ESE 433," Focus is on the components and associated techniques employed to implement analog and digital radio frequency (RF) and microwave (MW) transceivers for wireless applications, including: cell phones; pagers; wireless local area networks; global positioning satellite based devices; and RF identification systems. A brief overview of system-level considerations is provided, including modulation and detection approaches for analog and digital systems; multiple-access techniques and wireless standards; and transceiver architectures. Focus is on RF and MW: transmission lines; filter design; active component modeling; matching and biasing networks; amplifier design; and mixer design. Prerequisite: ESE 330.",Radio Frequency and Microwave Technology for Wireless Systems,-T-R---,3,4:00P-5:30P,Bornholdt,,school of engineering ,1
TBA,E35 ESE 434," Study of the strategies and applications power control using solid-state semiconductor devices. Survey of generic power electronic converters. Applications to power supplies, motor drives, and consumer electronics. Introduction to power diodes, thyristors, and MOSFETs. Prerequisites: ESE 232, 351.",Solid State Power Circuits and Applications,M-W----,3,5:30P-7:00P,Collins,,school of engineering ,1
Urbauer / 115,E35 ESE 435," Experimental studies of principles important in modern electrical energy systems. Topics include: AC power measurements, electric lighting, photovoltaic cells and arrays, batteries, DC-DC and DC-AC converters, and three-phase circuits. Each experiment requires analysis, simulation with MultiSim, and measurement via LabView and the Elvis II platform. Prerequisites: ESE 230 and 351",Electrical Energy Laboratory,-T-----,3,10:00A-11:30A,Morley,,school of engineering ,1
TBA,E35 ESE 438," Topics relevant to the engineering and physics of conventional as well as experimental optical systems and applications explored. Items addressed include geometrical optics, Fourier optics such as diffraction and holography, polarization and optical birefringence such as liquid crystals, and nonlinear optical phenomena and devices. Prerequisite: ESE 330 or equivalent.",Applied Optics,M-W----,3,1:00P-2:30P,Yang,,school of engineering ,1
TBA,E35 ESE 441," Introduction to the theory and practice of automatic control for dynamical systems. Dynamical systems as models for physical and observed phenomena. Mathematical representation of dynamical systems, such as state-space differential and difference equations, transfer functions, and block diagrams. Analysis of the time evolution of a system in response to control inputs, steady-state and transient responses, equilibrium points and their stability. Control via linear state feedback, and estimation using Leunberger observers. Relating the time response of a system to its frequency response, including Bode and Nyquist plots. Input-output stability and its relation to the stability of equilibrium points. Simple frequency-based controllers, such as PID and lead-lag compensators. Exercise involving the use of MATLAB/Simulink (or equivalent) to simulate and analyze systems. Prerequisites: CSE 131, and either ESE 351 or MEMS 431.",Control Systems,M-W----,3,10:00A-11:30A,Ching,,school of engineering ,1
TBA,E35 ESE 444," The course provide engineering students with basic understanding of two of the main components of any modern electrical or electromechanical system; sensors as inputs and actuators as outputs. The covered topics include transfer functions, frequency responses and feedback control. Component matching and bandwidth issues. Performance specification and analysis, Sensors: analog and digital motion sensors, optical sensors, temperature sensors, magnetic and electromagnetic sensors, acoustic sensors, chemical sensors, radiation sensors, torque, force and tactile sensors. Actuators: stepper motors, DC and AC motors, hydraulic actuators, magnet and electromagnetic actuators, acoustic actuators. Introduction to interfacing methods: bridge circuits, A/D and D/A converters, microcontrollers. This course is useful for those students interested in control engineering, robotics and systems engineering. Prerequisites: one of the following 4 conditions:(1) prerequisite of ESE 230 and corequisite of ESE 351; (2) prerequisites of ESE 230, ESE 318 and MEMS 255 (Mechanics II); (3) prerequisites of ESE 151 and ESE 351; (4) permission of instructor.",Sensors and Actuators,-T-R---,3,5:30P-7:00P,Becnel,,school of engineering ,1
Green Hall / 1157,E35 ESE 447," Introduces the students to various concepts such as modeling, identification, model validation and control of robotic systems. The course focuses on the implementation of identification and control algorithms on a two-link robotic manipulator (the so-called pendubot) that will be used as an experimental testbed. Topics include: Introduction to the mathematical modeling of robotic systems; nonlinear model, linearized model; Identification of the linearized model: input-output and state-space techniques; Introduction to the identification of the nonlinear model: energy-based techniques; model validation and simulation; stabilization using linear control techniques; a closer look at the dynamics; stabilization using nonlinear control techniques. Prerequisite: ESE 351 or MEMS 431. Corequisite or Prerequisite: ESE 441 and 446.",Robotics Laboratory,-T-R---,3,11:00A-1:00P,Mell,,school of engineering ,1
Green Hall / 1157,E35 ESE 448," Experimental study of real and simulated systems and their control. Identification, input-output analysis, design and implementation of control systems. Noise effects. Design and implementation of control laws for specific engineering problems. Corequisite: ESE 441 and knowledge of a programming language.",Systems Engineering Laboratory,M-W----,3,3:00P-5:00P,Zhang,,school of engineering ,1
TBA,E35 ESE 455," Application of computational mathematical techniques to problems in contemporary biology. Systems of linear ordinary differential equations in reaction-diffusion systems, hidden Markov models applied to gene discovery in DNA sequence, ordinary differential equation and stochastic models applied to gene regulation networks, negative feedback in transcription and metabolic pathway regulation. Prerequisites: (1) Math 217, Differential Equations and (2) a programming course and familiarity with Matlab.",Quantitative Methods for Systems Biology,M-W----,3,10:00A-11:30A,Brown,,school of engineering ,1
TBA,E35 ESE 461," Integrated systems provide the core technology that power today's most advanced devices and electronics: smart phones, wearable devices, autonomous robots, and cars, aerospace or medical electronics. These systems often consist of silicon microchips made up by billions of transistors and contain various components such as microprocessors, digital signal processors (DSPs), hardware accelerators, memories, and I/O interfaces. Therefore design automation is critical to tackle the design complexity at the system level. The objectives of this course are to 1) provide a general understanding of design automation for very large scale integrated (VLSI) systems; 2) introduce the basic algorithms used in VLSI design and optimization; 3) expose students to the design automation techniques used in the best-known academic and commercial systems, as well as the hot research topics and problems in the field. Topics covered include digital integrated circuit design flow, logic synthesis, physical design, high-level synthesis, circuit simulation and optimization, timing analysis, power delivery network analysis. Assignments include homework, mini-projects, term paper and group project. Prerequisites: ESE 232; ESE 260; ESE 362 (recommended)",Design Automation for Integrated Circuit Systems,M-W----,3,1:00P-2:30P,"Zhang, Silvia",,school of engineering ,1
Urbauer / 115,E35 ESE 465," Hardware/software co-design; processor interfacing; procedures for reliable digital design, both combinational and sequential; understanding manufacturers' specifications; use of test equipment. Several single-period laboratory exercises, several design projects, and application of microprocessors in digital design. One lecture and one laboratory period a week. Prerequisites: CSE 260M and CSE 361S.",Digital Systems Laboratory,-T-----,3,1:00P-2:30P,Richter,,school of engineering ,1
TBA,E35 ESE 482," Introduction to analysis and synthesis of discrete-time linear time-invariant (LTI) systems. Discrete-time convolution, discrete-time Fourier transform, z-transform, rational function descriptions of discrete-time LTI systems. Sampling, analog-to-digital conversion, and digital processing of analog signals. Techniques for the design of finite impulse response (FIR) and infinite impulse response (IIR) digital filters. Hardware implementation of digital filters and finite-register effects. The Discrete Fourier Transform and the Fast Fourier Transform (FFT) algorithm. Prerequisite: ESE 351.",Digital Signal Processing,-T-R---,3,10:00A-11:30A,Trobaugh,,school of engineering ,1
Urbauer / 115,E35 ESE 488," A laboratory course designed to complement the traditional EE course offerings in signal processing and communication theory. Signals and systems fundamentals: continuous-time and discrete-time linear time-invariant systems, impulse and step response, frequency response, A/D and D/A conversion. Digital signal processing: FIR and IIR digital filter design, implementation and application of the Fast Fourier Transform. Communication theory: baseband, digital communication, amplitude modulation, frequency modulation, bandpass digital communication. Laboratory experiments involve analog and digital electronics. Computer workstations and modern computational software used extensively for system simulation and real-time signal processing. Prerequisite: ESE 351.",Signals and Systems Laboratory,-T-----,3,2:30P-4:00P,Morley,,school of engineering ,1
TBA,E35 ESE 498," Capstone design project supervised by the course instructor. The project must use the theory, techniques, and concepts of the student's major: electrical engineering or systems science & engineering. The solution of a real technological or societal problem is carried through completely, starting from the stage of initial specification, proceeding with the application of engineering methods, and terminating with an actual solution. Collaboration with a client, typically either an engineer or supervisor from local industry or a professor or researcher in university laboratories, is encouraged. A proposal, an interim progress update, and a final report are required, each in the forms of a written document and oral presentation, as well as a Web page on the project. Weekly progress reports and meetings with the instructor are also required. Prerequisite: ESE senior standing and instructor's consent. Note: this course will meet at the scheduled time only during select weeks. If you cannot attend at that time, you may still register for the course.",Electrical Engineering Capstone Design Projects,TBA,3,,"Trobaugh, Schaettler",,school of engineering ,1
TBA,E35 ESE 499," Capstone design project supervised by the course instructor. The project must use the theory, techniques, and concepts of the student's major: electrical engineering or systems science & engineering. The solution of a real technological or societal problem is carried through completely, starting from the stage of initial specification, proceeding with the application of engineering methods, and terminating with an actual solution. Collaboration with a client, typically either an engineer or supervisor from local industry or a professor or researcher in university laboratories, is encouraged. A proposal, an interim progress update, and a final report are required, each in the forms of a written document and oral presentation, as well as a Web page on the project. Weekly progress reports and meetings with the instructor are also required. Prerequisite: ESE senior standing and instructor's consent. Note: this course will meet at the scheduled time only during select weeks. If you cannot attend at that time, you may still register for the course.",Systems Science and Engineering Capstone Design Project,TBA,3,,"Trobaugh, Schaettler",,school of engineering ,1
TBA,E35 ESE 501," Matrix algebra: systems of linear equations, vector spaces, linear independence and orthogonality in vector spaces, eigenvectors and eigenvalues; Vector calculus: gradient, divergence, curl, line and surface integrals, theorems of Green, Stokes, and Gauss; Elements of Fourier analysis and its applications to solving some classical partial differential equations, heat, wave, and Laplace equation. Prerequisite: ESE 318 and ESE 319 or equivalent or consent of instructor. This course will not count toward the ESE doctoral program.",Mathematics of Modern Engineering I,M-W----,3,4:00P-5:30P,Kurenok,,school of engineering ,1
TBA,E35 ESE 520," Review of probability theory, models for random signals and noise, calculus of random processes, noise in linear and nonlinear systems, representation of random signals by sampling and orthonormal expansions. Poisson, Gaussian, and Markov processes as models for engineering problems. Prereq: ESE 326.",Probability and Stochastic Processes,-T-R---,3,4:00P-5:30P,Schaettler,,school of engineering ,1
TBA,E35 ESE 534," This course covers advanced topics in electrodynamics. Topics include electromagnetic wave propagation (in free space, confined waveguides, or along engineered surfaces); electromagnetic wave scattering (off nano-particles or molecules); electromagnetic wave generation and detection (antenna and nano-antenna); inverse scattering problems; and numerical and approximate methods. Prerequisite: ESE 330, or Physics 421 and 422",Special Topics in Advanced Electrodynamics,M-W----,3,2:30P-4:00P,Shen,,school of engineering ,1
TBA,E35 ESE 551," Input-output and state-space description of linear dynamic systems. Solution of the state equations and the transition matrix. Controllability, observability, realizations, pole-assignment, observers and decoupling of linear dynamic systems. Prereq: ESE 351.",Linear Dynamic Systems I,M-W----,3,4:00P-5:30P,Gonzalez,,school of engineering ,1
TBA,E35 ESE 560," An exploration of the central issues in computer architecture: instruction set design, addressing and register set design, control unit design, microprogramming, memory hierarchies (cache and main memories, mass storage, virtual memory), pipelining, and bus organization. The course emphasizes understanding the performance implications of design choices, using architecture modeling and evaluation using VHDL and/or instruction set simulation. Prerequisites: CSE 361S and CSE 260M.",Computer Systems Architecture I,M-W----,3,2:30P-4:00P,Chamberlain,,school of engineering ,1
TBA,E35 ESE 562," This course focuses on fundamental and advanced topics in analog and mixed-signal VLSI techniques. The first part of the course covers graduate level materials in the area of analog circuit synthesis and analysis. The second part of the course covers applications of the fundamental techniques for designing analog signal processors and data converters. Several practical aspects of mixed-signal design, simulation and testing are covered in this course. This is a project-oriented course and it is expected that the students apply the concepts learned in the course to design, simulate and explore different circuit topologies. Prerequisite: CSE 260 and ESE 232","Digital System Verification, Testing, and Reliability",-T-R---,3,4:00P-5:30P,Chakrabartty,,school of engineering ,1
TBA,E35 ESE 588," Introduction to modeling, processing, manipulation and display of images. Application of two-dimensional linear systems to image processing. Two-dimensional sampling and transform methods. The eye and perception. Image restoration and reconstruction. Multiresolution processing, noise reduction and compression. Boundary detection and image segmentation. Case studies in image processing (examples: computer tomography and ultrasonic imaging). Prerequisites: ESE 326, ESE 482.",Quantitative Image Processing,-T-R---,3,2:30P-4:00P,Arthur,,school of engineering ,1
Green Hall / L0120,E35 ESE 590," This satisfactory/unsatisfactory course is required for the MS, DSc and PhD degrees in Electrical and Systems Engineering. A passing grade is required for each semester of enrollment and is received by attendance at regularly scheduled ESE seminars. MS students must attend at least 3 seminars per semester. DS and PhD students must attend at least 5 seminars per semester. Part-time students are exempt except during their year of residency. Any student under continuing status is also exempt. Seminars missed in a given semester may be made up during the subsequent semester.",Electrical & Systems Engineering Graduate Seminar,TBA,0,,Arthur,,school of engineering ,1
TBA,E35 ESE 596," This seminar course consists of a series of tutorial lectures on Imaging Science and Engineering with emphasis on applications of imaging technology. Students are exposed to a variety of imaging applications that vary depending on the semester, but may include multispectral remote sensing, astronomical imaging, microscopic imaging, ultrasound imaging, and tomographic imaging. Guest lecturers come from several parts of the university. This course is required of all students in the Imaging Science and Engineering program; the only requirement is attendance. This course is graded Pass/Fail. Prerequisite: Admission to Imaging Science and Engineering Program.",Seminar in Imaging Science and Engineering,----F--,1,8:30A-10:00A,O'Sullivan,,school of engineering ,1
TBA,E35 ESE 599," In order to register for this course, please fill out the ESE Research/Independent Study Registration Form.",Masters Research,TBA,0,,Arthur,,school of engineering ,1
TBA,E35 ESE 600,"",Doctoral Research,TBA,0,,Arthur,,school of engineering ,1
TBA,E35 ESE 884,"",Doctoral Continuing Student Status,TBA,0,,Laudel,,school of engineering ,1
Urbauer / 113,E37 MEMS 1001," Operation of basic machine tools including: lathe, drill press, grinder and mill. Student shop privilege requires completion of this practicum.",Machine Shop Practicum,--W----,1,9:00A-11:30A,Tapella,,school of engineering ,1
Urbauer / 113,E37 MEMS 1003," The course provides an introduction to design and fabrication. Students formulate designs, build prototypes and compete in engineering exploration-based creative design projects. Emphasis is placed on producing working hardware and prototypes in response to design needs. Specialized learning modules focus on the knowledge required to complete projects, such as introductory topics in shop skills, machine elements, electronics, design, visualization and communication. Enrollment limited to engineering freshmen.",Mechanical Engineering Design and Build,-T-----,1,9:00A-11:30A,Tapella,,school of engineering ,1
Jolley / 2,E37 MEMS 103," AutoCAD is the most used two-dimensional drawing software for Architectural and Engineering production drawings. Introduction to AutoCAD, title blocks, drawing setup, absolute and relative coordinates, drawing entities, layouts, drafting geometry, dimensioning, plotting drawings to scale, sectional and other special views, isometric pictorial views. Classwork involves typical drawings from industry.",Computer Aided Design - AutoCAD,M-W----,1,10:00A-11:30A,Woodhams,,school of engineering ,1
Jolley / 2,E37 MEMS 202," An introduction to computer aided engineering design in the context of mechanical and structural engineering. Students learn the fundamentals of spatial reasoning and graphical representation. Freehand sketching skills, including pictorial and orthographic views, are applied to the design process. Computer modeling techniques provide accuracy, analysis, and visualization tools necessary for the design of structures, devices and machines. Topics include: detailing design for production, fasteners, dimensioning, tolerancing, creation of part and assembly drawings, computer aided design, analysis and optimization of parts and assemblies; solid modeling of complex surfaces, assembly modeling, assembly constraints, and interference checking.",Computer-Aided Design,-T-R---,3,10:00A-12:00P,Woodhams,,school of engineering ,1
TBA,E37 MEMS 253," Principles of statics, solid mechanics, force systems and equilibrium. Equivalent systems of forces and distributed forces. Applications to trusses, frames, machines, beams, and cables. Mechanics of deformable solids and indeterminate problems. Stress, strain, deflection, yield and fracture in beams, columns, and torsion members. Evening exams, at which attendance is required, will be given from 7:00-9:00 pm on Thursday, 10/12/17 and Tuesday, 11/7/17. Prerequisites: Physics 117A Co-requisites: Math 217",Engineering Mechanics I,M-W-F--,3,1:00P-2:00P,Lake,,school of engineering ,1
TBA,E37 MEMS 255," Review of vector algebra and calculus. Kinematics of a particle. Newton's laws and the kinetics of a particle. Work and energy. Impulse and momentum. Kinematics of rigid bodies. General theorems for systems of particles. Kinetics of rigid bodies. The inertia tensor. Computer problems form a significant part of the class. Prerequisites: Math 217",Engineering Mechanics II,M-W-F--,3,11:00A-12:00P,Karunamoorthy,,school of engineering ,1
TBA,E37 MEMS 301," This course of classical thermodynamics is oriented towards mechanical engineering applications. It includes properties and states of a substance, processes, cycles, work, heat, and energy. Steady-state and transient analyses utilize the First and Second Laws of Thermodynamics for closed systems and control volumes, as well as the concept of exergy. Prerequisites: Chem 111A, Math 132, Phys 197 or 117A.",Thermodynamics,-T-R---,3,8:30A-10:00A,Agonafer,,school of engineering ,1
TBA,E37 MEMS 3410," Fundamental concepts of fluids as continua. Topics include: viscosity, flow fields, velocity, vorticity, streamlines, fluid statics, hydrostatic forces, manometers, conservation of mass and momentum, incompressible inviscid flow, dimensional analysis and similitude, flow in pipes and ducts, flow measurement, boundary-layer concepts, flow in open channels. Corequisite: MEMS 255. Prerequisites: Math 233 and Math 217.",Fluid Mechanics,-T-R---,3,11:30A-1:00P,Boyd,,school of engineering ,1
TBA,E37 MEMS 350," A continuation of MEMS 253 containing selected topics in the mechanics of deformable solids, presented at a level intermediate between introductory strength of materials and advanced continuum mechanics. Lectures will discuss elastic and elasto-plastic response, failure criteria, composites, beams, and structural stability, as well as an introduction of the tensorial formulation of stress and strain and the governing equations of 3-D linear elasticity. Mathematical methods from calculus, linear algebra and linear differential equations will be used. Computer problems form a significant part of the class. Evening exams, at which attendance is required, will be given from 6:30-8:30 pm on Wed 10/11/17 and Tu 11/7/17. MEMS 255 not required. Prerequisite MEMS 253. Corequisite ESE 318.",Engineering Mechanics III,-T-R---,3,10:00A-11:30A,Sellers,,school of engineering ,1
TBA,E37 MEMS 3610," Introduction to properties, chemistry and physics of engineering materials; conduction, semiconductors, crystalline structures, imperfections, phase diagrams, kinetics, mechanical properties, ceramics, polymers, corrosion, magnetic materials, and thin films; relationship of atomic and molecular structure to physical and chemical properties; selection of materials for engineering applications; relationships between physical properties, chemical properties and performance of engineering materials. Pre-requisite: Chem 111A",Materials Science,M-W-F--,3,10:00A-11:00A,Mishra,,school of engineering ,1
TBA,E37 MEMS 405," Laboratory experiments and exercises focusing on vibration of mechanical systems; kinematic response, dynamic response and design of mechanisms and machine components; displacements, velocities, and accelerations in mechanical systems and components; response to static and dynamic forces; transient and steady state response; design of mechanical components for power transmission; calibration and use of instrumentation; acquisition, processing, and analysis of data; principles of experimentation and measurement; statistical analysis of data; preparation of laboratory reports and presentation of data. Pre-requisites: MEMS 3110 Co-requisite: MEMS 4310",Vibrations and Machine Elements Laboratory,M------,2,1:00P-2:00P,"Malast, Bayly, Sellers",,school of engineering ,1
TBA,E37 MEMS 4101," Manufacturing processes and machinery are explained and described. Topics include: analytical tools of machine science, heat transfer, vibrations and control theory are applied to the solution of manufacturing problems, analytical development and application of engineering theory to manufacturing problems, machine tools and automated production equipment.",Manufacturing Processes,-T-R---,3,2:30P-4:00P,Griffith,,school of engineering ,1
TBA,E37 MEMS 411," Simulating an integrated product team (IPT) experience, student teams will complete a conceptual design study, select a design project, procure parts, build a prototype, track cost and schedule, and manage project risk. Projects will have multiple design constraints including cost, codes, standards, environmental, ethical, and societal constraints. SolidWorks CAD and SolidWorks simulation-based engineering analysis will support design and prototype activities. Student teams will publish a project report through WUSTL library's open scholarship repository. Lectures have an active learning format comprised of outside reading assignments, guest speakers, group discussion, and design reviews. Prerequisites: MEMS 3110.",Mechanical Engineering Design Project,M-W-F--,3,10:00A-11:00A,"Potter, Malast",,school of engineering ,1
TBA,E37 MEMS 4310," Introduction to the analysis of vibrations in single- and multi- degree of freedom systems; free and forced vibration of multi-degree of freedom and distributed parameter mechanical systems and structures; methods of Laplace transform; complex harmonic balance; matrix formulation; Fourier series; and transient response of continuous systems by partial differential equations. Prerequisites: MEMS 255, ESE 318 and ESE 319",Dynamics and Vibrations,M-W-F--,3,11:00A-12:00P,Peters,,school of engineering ,1
Brauer Hall / 12,E37 MEMS 501," This is a required satisfactory/pass/fail course for masters and doctoral degrees. A satisfactory S grade is required for each semester of full-time enrollment. A satisfactory S grade is received by attendance at the weekly seminars.",Graduate Seminar,---R---,0,2:30P-4:00P,Meacham,,school of engineering ,1
TBA,E37 MEMS 5104," An introduction to the use of computer-aided engineering (CAE) tools in the mechanical design process. Topics include: integrating engineering analysis throughout the process; multi-disciplinary optimization; and computer-aided design directed toward new manufacturing processes. Students will work with commercial and research software systems to complete several projects. Students should have experience and familiarity with a CAD tool, optimization and the finite element method. Prerequisite: MEMS 202 Computer-Aided Design or equivalent",CAE-Driven Mechanical Design,M-W----,3,4:00P-5:30P,Jakiela,,school of engineering ,1
TBA,E37 MEMS 5404," Introduction to fundamental aspects of combustion phenomena including relevant thermochemistry, fluid mechanics, and transport processes. Emphasis is on elucidation of the physico-chemical processes, problem formulation, and analytical techniques. Topics covered include ignition, extinction, diffusion flames, particle combustion, deflagrations, and detonations. Prerequisites: Graduate standing or permission of instructor. (Prior to FL2015, this course was numbered: E33 5404.)",Combustion Phenomena,M-W----,3,2:30P-4:00P,Axelbaum,,school of engineering ,1
TBA,E37 MEMS 5410," Formulation of the basic concepts and equations governing a Newtonian, viscous, conducting, compressible fluid. Topics include: transport coefficients and the elements of kinetic theory of gases, vorticity, incompressible potential flow; singular solutions, flow over bodies and lifting surfaces, similarity methods, viscous flow, boundary layer, low Reynolds number flows, laminar and turbulent flows.",Fluid Dynamics I,M-W----,3,4:00P-5:30P,Boyd,,school of engineering ,1
TBA,E37 MEMS 5412," Computational fluid dynamics relevant to engineering analysis and design. Topics include: fundamentals of finite-difference, finite-volume, and finite-element methods, numerical algorithms for parabolic, elliptic, and hyperbolic equations, convergence, stability, and consistency of numerical algorithms, application of numerical algorithms to selected model equations relevant to fluid flow, grid-generation techniques, and convergence acceleration schemes. Prerequisites: Senior or graduate standing or permission of the instructor.",Computational Fluid Dynamics,-T-R---,3,4:00P-5:30P,Cary,,school of engineering ,1
TBA,E37 MEMS 5414," This course deals with the interactions between aerodynamics, dynamics and structures in aerospace systems. Topics covered will include unsteady aerodynamics, finite-state aerodynamic models, classical fixed-wing flutter, rotary-wing aeroelasticity and experimental methods in aeroelasticity. Emphasis will be given to the prediction of flutter and limit cycles in aeroelastic systems",Aeroelasticity & Flow-Induced Vibrations,-T-R---,3,5:30P-7:00P,Pitt,,school of engineering ,1
TBA,E37 MEMS 5420," Fundamentals of heating, ventilating, and air conditioning - moist air properties, the psychrometric chart, classic moist air processes, design procedures for heating and cooling systems. Design of HVAC systems for indoor environmental comfort, health, and energy efficiency. Heat transfer processes in buildings. Development and application of techniques for analysis of heating and cooling loads in buildings, including the use of commercial software. Course special topics can include LEED rating and certification, cleanrooms, aviation, aerospace, and naval applications, ventilation loads, animal control facilities, building automation control, and on-site campus tours of state-of-the-art building energy and environmental systems.",HVAC Analysis and Design I,-T-R---,3,4:00P-5:30P,"Brandon, Biggs",,school of engineering ,1
TBA,E37 MEMS 5423," Sustainable design of building lighting and HVAC systems considering performance, life-cycle cost and downstream environmental impact. Criteria, codes and standards for comfort, air quality, noise/vibration and illumination. Life cycle and other investment methods to integrate energy consumption/conservation, utility rates, initial cost, system/component longevity, maintenance cost and building productivity. Direct and secondary contributions to acid rain, global warming and ozone depletion.",Sustainable Environmental Building Systems,-T-R---,3,2:30P-4:00P,Janis,,school of engineering ,1
TBA,E37 MEMS 5501," A broad survey of the general principles governing the mechanics of continuous media. Topics include: general vector and tensor analysis, rigid body motions, deformation, stress and strain rate, large deformation theory, conservation laws of physics, constitutive relations, principles of continuum mechanics and thermodynamics, two-dimensional continua. Prerequisite: ESE 501-502 or instructor's permission.",Mechanics of Continua,M-W----,3,4:00P-5:30P,Pathak,,school of engineering ,1
TBA,E37 MEMS 5507," The course objective is to demonstrate practical methods for computing fatigue life of metallic structural components. The course covers the three major phases of metal fatigue progression: fatigue crack initiation, crack propagation and fracture. Topics include: stress vs. fatigue life analysis, cumulative fatigue damage, linear elastic fracture mechanics, stress intensity factors, damage tolerance analysis, fracture toughness, critical crack size computation and load history development. The course focus is on application of this technology to design against metal fatigue and to prevent structural failure.",Fatigue and Fracture Analysis,M-W----,3,5:30P-7:00P,Perez,,school of engineering ,1
TBA,E37 MEMS 5515," Solution of 2D and 3D elasticity problems using the finite element method. Topics include: linear elasticity; laminated material; stress concentration; stress intensity factor; solution verification; J integral; energy release rate; residual stress; multi-body contact; nonlinear elasticity; plasticity; and buckling. Prerequisite: Graduate standing or permission of instructor.",Numerical Simulation in Solid Mechanics I,-T-R---,3,5:30P-7:00P,Actis,,school of engineering ,1
TBA,E37 MEMS 5560," Attachment of dissimilar materials in engineering and surgical practice is a challenge. Bimaterial attachment sites are common locations for injury and mechanical failure. Nature presents several highly effective solutions to the challenge of bimaterial attachment that differ from those found in engineering practice. This course bridges the physiologic, surgical, and engineering approaches to connecting dissimilar materials. Topics in this course are: natural bimaterial attachments; engineering principles underlying attachments; analysis of the biology of attachments in the body; mechanisms by which robust attachments are formed; concepts of attaching dissimilar materials in surgical practice and engineering; and bioengineering approaches to more effectively combine dissimilar materials.",Interfaces and Attachments in Natural and Engineered Structures,-T-R---,3,4:00P-5:30P,Genin,,school of engineering ,1
TBA,E37 MEMS 5601," A materials science based study of mechanical behavior of materials with emphasis on mechanical behavior as affected by processes taking place at the microscopic and/or atomic level. The response of solids to external or internal forces as influenced by inter atomic bonding, crystal/molecular structure, crystalline/non crystalline defects, and material microstructure will be studied. The similarities and differences in the response of different kinds of materials viz., metals and alloys, ceramics, polymers, and composites will be discussed. Topics covered include physical basis of elastic, visco elastic, and plastic deformation of solids; strengthening of crystalline materials; visco elastic deformation of polymers as influenced by molecular structure and morphology of amorphous, crystalline, and fibrous polymers; deformation and fracture of composite materials; mechanisms of creep, fracture and fatigue; high strain-rate deformation of crystalline materials; and deformation of non crystalline materials.",Mechanical Behavior of Materials,M-W----,3,2:30P-4:00P,Flores,,school of engineering ,1
TBA,E37 MEMS 5602," Structure, mechanical, and physical properties of ceramics and cermets, with particular emphasis on the use of these materials for space, missile, rocket, high-speed aircraft, nuclear, and solid-state applications.",Non-metallics,M-W----,3,7:00P-8:30P,Sastry,,school of engineering ,1
TBA,E37 MEMS 5604," Introduction to crystallography and elements of X-ray physics. Diffraction theory and application to materials science including following topics: reciprocal lattice concept, crystal-structure analysis, Laue methods, rotating crystal methods, powder method, and laboratory methods of crystal analysis.",Materials Characterization Techniques II,M-W----,3,4:00P-5:30P,Sastry,,school of engineering ,1
TBA,E37 MEMS 5605," Analysis and mechanics of composite materials. Topics include micromechanics, laminated plate theory, hydrothermal behavior, creep, strength, failure modes, fracture toughness, fatigue, structural response, mechanics of processing, nondestructive evaluation, and test methods. Prerequisite: Permission of the instructor.",Mechanical Behavior of Composites,-T-----,3,5:30P-8:30P,Renieri,,school of engineering ,1
TBA,E37 MEMS 5608," Topics covered in this course are: the concept of long-chain or macromolecules, polymer chain structure and configuration, microstructure and mechanical (rheological) behavior, polymer phase transitions (glass transition, melting, crystallization), physical chemistry of polymer solutions (Flory-Huggins theory, solubility parameter, thermodynamics of mixing and phase separation), polymer surfaces and interfaces, overview of polymer processing (extrusion, injection molding, film formation, fiber spinning) and modern applications of synthetic and bio-polymers .",Introduction to Polymer Science and Engineering,-T-R---,3,5:30P-7:00P,Singamaneni,,school of engineering ,1
TBA,E37 MEMS 5610," Quantitative Materials Science and Engineering will provide students with the basic mathematical foundation needed to understand primary concepts in Materials Science and Engineering (MSE). The course structure involves introduction of mathematical techniques, including Fourier series, ordinary and partial differential equations, special functions, matrix algebra and vector calculus. The introduction of each technique will be followed by its direct application to fundamental concepts in MSE, which include topics from thermodynamics, kinetics and phase transformations, structure and properties of hard and soft matter and characterization techniques. This course is intended especially for students pursuing graduate study in materials science, but with little background in upper level mathematics.",Quantitative Materials Science & Engineering,-T-R---,3,4:00P-5:30P,Banerjee,,school of engineering ,1
